as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1957-12-31,permno-14832-19570301,14832,,,ARTLOOM INDS INC; ARTLOOM CORP; ARTLOOM CARPET INC; TRANS UTD INDS INC,,1957-03-01,1960-10-26,wrds,missing_symbol
1957-12-31,permno-19625-19570301,19625,,,BRIDGEPORT BRASS CO,,1957-03-01,1961-06-21,wrds,missing_symbol
1957-12-31,permno-17603-19570301,17603,,,CLETRAC CORP; OLIVER CORP; OLIVER FARM EQUIP CO,,1957-03-01,1960-10-26,wrds,missing_symbol
1957-12-31,permno-11359-19570301,11359,,,COLUMBIAN CARBON CO,,1957-03-01,1962-02-07,wrds,missing_symbol
1957-12-31,permno-21784-19570301,21784,,,CORNELL DUBILIER ELEC CORP,,1957-03-01,1960-04-20,wrds,missing_symbol
1957-12-31,permno-18454-19570301,18454,,,CREAM OF WHEAT CORP,,1957-03-01,1961-08-09,wrds,missing_symbol
1957-12-31,permno-22875-19570301,22875,,,FIRTH CARPET CO,,1957-03-01,1962-02-14,wrds,missing_symbol
1957-12-31,permno-19836-19570301,19836,,,GREEN H L INC,,1957-03-01,1961-06-21,wrds,missing_symbol
1957-12-31,permno-12212-19570301,12212,,,GUANTANAMO SUGAR CO,,1957-03-01,1960-12-28,wrds,missing_symbol
1957-12-31,permno-18366-19570301,18366,,,HERCULES MTRS CORP,,1957-03-01,1961-09-20,wrds,missing_symbol
1957-12-31,permno-17064-19570301,17064,,,INDUSTRIAL RAYON CORP,,1957-03-01,1961-04-26,wrds,missing_symbol
1957-12-31,permno-23165-19570301,23165,,,LEES JAMES & SONS CO,,1957-03-01,1960-03-23,wrds,missing_symbol
1957-12-31,permno-28281-19570301,28281,,,LERNER STORES CORP,,1957-03-01,1961-12-06,wrds,missing_symbol
1957-12-31,permno-13004-19570301,13004,,,MANATI SUGAR CO,,1957-03-01,1961-02-08,wrds,missing_symbol
1957-12-31,permno-13151-19570301,13151,,,MIAMI COPPER CO,,1957-03-01,1960-06-22,wrds,missing_symbol
1957-12-31,permno-21426-19570301,21426,,,PHILCO CORP,,1957-03-01,1961-12-06,wrds,missing_symbol
1957-12-31,permno-17486-19570301,17486,,,SPENCER KELLOGG & SONS INC,,1957-03-01,1961-08-02,wrds,missing_symbol
1957-12-31,permno-21688-19570301,21688,,,SYLVANIA ELEC PRODS INC,,1957-03-01,1959-02-25,wrds,missing_symbol
